GeneID_deseq	GeneName_deseq	log2FoldChange_deseq	pvalue_deseq	padj_deseq	IncLevel1_rmats	IncLevel2_rmats	IncLevelDifference_rmats
ENSMUSG00000024163.18	Mapk8ip3	0.132587597863623	0.0268264579889601	0.0411662036177981	0.004,0.045,0.0	0.019,0.0,0.013	0.006
ENSMUSG00000024163.18	Mapk8ip3	0.132587597863623	0.0268264579889601	0.0411662036177981	0.0,0.053,0.083	0.018,0.036,0.028	0.018
ENSMUSG00000024163.18	Mapk8ip3	0.132587597863623	0.0268264579889601	0.0411662036177981	NA,NA,1.0	0.201,1.0,NA	0.399
ENSMUSG00000024163.18	Mapk8ip3	0.132587597863623	0.0268264579889601	0.0411662036177981	0.009,0.016,0.044	0.019,0.031,0.008	0.004
ENSMUSG00000024163.18	Mapk8ip3	0.132587597863623	0.0268264579889601	0.0411662036177981	0.02,0.019,0.046	0.015,0.027,0.019	0.008
ENSMUSG00000024163.18	Mapk8ip3	0.132587597863623	0.0268264579889601	0.0411662036177981	1.0,1.0,1.0	1.0,0.881,1.0	0.04
ENSMUSG00000024163.18	Mapk8ip3	0.132587597863623	0.0268264579889601	0.0411662036177981	0.079,0.023,0.009	0.037,0.009,0.006	0.02
ENSMUSG00000024163.18	Mapk8ip3	0.132587597863623	0.0268264579889601	0.0411662036177981	0.0,1.0,0.0	1.0,0.076,0.064	-0.047
ENSMUSG00000024163.18	Mapk8ip3	0.132587597863623	0.0268264579889601	0.0411662036177981	0.502,1.0,1.0	0.101,1.0,1.0	0.134
ENSMUSG00000024163.18	Mapk8ip3	0.132587597863623	0.0268264579889601	0.0411662036177981	0.051,1.0,0.0	1.0,0.051,0.303	-0.101
ENSMUSG00000024163.18	Mapk8ip3	0.132587597863623	0.0268264579889601	0.0411662036177981	0.286,1.0,NA	1.0,1.0,1.0	-0.357
ENSMUSG00000024163.18	Mapk8ip3	0.132587597863623	0.0268264579889601	0.0411662036177981	0.0,1.0,1.0	1.0,1.0,1.0	-0.333
ENSMUSG00000024165.10	Jpt2	0.119767204720373	0.0014430760625334	0.0026027838693368	1.0,1.0,1.0	0.932,0.969,1.0	0.033
ENSMUSG00000024169.17	Ift140	-0.479718690744513	2.70874756589216e-26	1.3508218816732902e-25	0.0,1.0,NA	NA,NA,1.0	-0.5
ENSMUSG00000024169.17	Ift140	-0.479718690744513	2.70874756589216e-26	1.3508218816732902e-25	0.009,0.0,0.0	0.0,0.022,0.007	-0.007
ENSMUSG00000024169.17	Ift140	-0.479718690744513	2.70874756589216e-26	1.3508218816732902e-25	1.0,0.744,1.0	0.454,1.0,1.0	0.097
ENSMUSG00000024169.17	Ift140	-0.479718690744513	2.70874756589216e-26	1.3508218816732902e-25	0.007,0.009,0.005	0.005,0.002,0.007	0.002
ENSMUSG00000024170.16	Telo2	-0.306098090476562	4.13103328606182e-09	1.10955094464882e-08	1.0,1.0,0.58	1.0,1.0,1.0	-0.14
ENSMUSG00000024170.16	Telo2	-0.306098090476562	4.13103328606182e-09	1.10955094464882e-08	0.041,0.017,0.041	0.011,0.063,0.0	0.008
ENSMUSG00000024170.16	Telo2	-0.306098090476562	4.13103328606182e-09	1.10955094464882e-08	0.022,0.034,0.02	0.013,0.022,0.044	-0.001
ENSMUSG00000024170.16	Telo2	-0.306098090476562	4.13103328606182e-09	1.10955094464882e-08	0.136,0.0,0.486	1.0,0.073,NA	-0.329
ENSMUSG00000024170.16	Telo2	-0.306098090476562	4.13103328606182e-09	1.10955094464882e-08	0.009,0.0,0.005	0.003,0.005,0.0	0.002
ENSMUSG00000024170.16	Telo2	-0.306098090476562	4.13103328606182e-09	1.10955094464882e-08	0.004,0.012,0.006	0.0,0.005,0.01	0.002
ENSMUSG00000024170.16	Telo2	-0.306098090476562	4.13103328606182e-09	1.10955094464882e-08	0.003,0.005,0.0	0.008,0.008,0.003	-0.004
ENSMUSG00000024170.16	Telo2	-0.306098090476562	4.13103328606182e-09	1.10955094464882e-08	0.0,1.0,0.21	1.0,1.0,NA	-0.597
ENSMUSG00000024170.16	Telo2	-0.306098090476562	4.13103328606182e-09	1.10955094464882e-08	0.146,NA,1.0	1.0,1.0,1.0	-0.427
ENSMUSG00000024170.16	Telo2	-0.306098090476562	4.13103328606182e-09	1.10955094464882e-08	0.011,0.018,0.046	0.029,0.141,0.014	-0.036
ENSMUSG00000024177.10	Nme4	-0.474351387574332	7.9245935195574e-17	2.94782329501375e-16	0.077,0.049,0.065	0.091,0.078,0.066	-0.015
ENSMUSG00000024177.10	Nme4	-0.474351387574332	7.9245935195574e-17	2.94782329501375e-16	0.958,0.859,0.676	0.896,0.96,0.879	-0.081
ENSMUSG00000024180.15	Pgap6	-1.12191094655379	9.67530303959101e-128	2.18281942727948e-126	0.016,0.015,0.013	0.035,0.007,0.042	-0.013
ENSMUSG00000024180.15	Pgap6	-1.12191094655379	9.67530303959101e-128	2.18281942727948e-126	0.055,0.025,0.027	0.006,0.031,0.017	0.018
ENSMUSG00000024180.15	Pgap6	-1.12191094655379	9.67530303959101e-128	2.18281942727948e-126	0.02,0.03,0.038	0.013,0.035,0.02	0.007
ENSMUSG00000024180.15	Pgap6	-1.12191094655379	9.67530303959101e-128	2.18281942727948e-126	0.011,0.01,0.0	0.018,0.0,0.007	-0.001
ENSMUSG00000024180.15	Pgap6	-1.12191094655379	9.67530303959101e-128	2.18281942727948e-126	1.0,0.552,NA	1.0,NA,1.0	-0.224
ENSMUSG00000024180.15	Pgap6	-1.12191094655379	9.67530303959101e-128	2.18281942727948e-126	1.0,1.0,NA	1.0,NA,0.387	0.306
ENSMUSG00000024180.15	Pgap6	-1.12191094655379	9.67530303959101e-128	2.18281942727948e-126	0.772,0.964,0.802	0.804,0.584,0.842	0.103
ENSMUSG00000024180.15	Pgap6	-1.12191094655379	9.67530303959101e-128	2.18281942727948e-126	0.037,0.131,0.102	1.0,0.22,0.336	-0.429
ENSMUSG00000024180.15	Pgap6	-1.12191094655379	9.67530303959101e-128	2.18281942727948e-126	0.01,0.02,0.023	0.019,0.005,0.025	0.001
ENSMUSG00000024180.15	Pgap6	-1.12191094655379	9.67530303959101e-128	2.18281942727948e-126	0.482,1.0,0.591	1.0,0.237,0.482	0.118
ENSMUSG00000024180.15	Pgap6	-1.12191094655379	9.67530303959101e-128	2.18281942727948e-126	0.014,0.017,0.028	0.005,0.019,0.002	0.011
ENSMUSG00000024180.15	Pgap6	-1.12191094655379	9.67530303959101e-128	2.18281942727948e-126	0.767,1.0,1.0	1.0,1.0,1.0	-0.078
